"hrsrelax","mntlhlth","hrs1","degree","grass"
3,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
6,2,50,"HIGH SCHOOL",NA
8,0,40,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,52,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,0,40,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
4,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,39,"JUNIOR COLLEGE","LEGAL"
4,4,42,"JUNIOR COLLEGE",NA
6,0,40,"BACHELOR","LEGAL"
0,0,19,"LT HIGH SCHOOL","LEGAL"
3,5,59,"JUNIOR COLLEGE",NA
5,30,48,"HIGH SCHOOL","NOT LEGAL"
2,5,40,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
6,0,40,"JUNIOR COLLEGE","LEGAL"
1,15,45,"HIGH SCHOOL","LEGAL"
2,5,40,"GRADUATE","LEGAL"
2,3,50,"BACHELOR",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,0,40,"BACHELOR",NA
2,0,60,"BACHELOR","NOT LEGAL"
4,0,60,"GRADUATE","NOT LEGAL"
4,0,50,"GRADUATE",NA
5,0,25,"HIGH SCHOOL","LEGAL"
8,0,55,"HIGH SCHOOL","LEGAL"
4,5,40,"BACHELOR","LEGAL"
1,30,45,"BACHELOR",NA
6,4,9,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,0,50,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
8,0,28,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
5,0,20,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
4,0,30,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,3,37,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
7,0,20,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,4,30,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,20,"JUNIOR COLLEGE",NA
2,30,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,2,50,"BACHELOR",NA
8,25,16,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,1,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
2,0,62,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
8,0,40,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
0,0,40,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
9,0,45,"HIGH SCHOOL","LEGAL"
4,30,40,"LT HIGH SCHOOL",NA
3,30,40,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
4,0,38,"BACHELOR","NOT LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,5,40,"BACHELOR",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,9,"BACHELOR","NOT LEGAL"
2,4,50,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR",NA
4,0,20,"GRADUATE","NOT LEGAL"
6,0,40,"BACHELOR","LEGAL"
2,2,45,"GRADUATE","NOT LEGAL"
4,25,10,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
2,1,60,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,37,"JUNIOR COLLEGE",NA
2,5,52,"JUNIOR COLLEGE",NA
2,0,37,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
1,0,50,"BACHELOR","LEGAL"
1,1,50,"BACHELOR","LEGAL"
8,0,40,"HIGH SCHOOL",NA
3,3,27,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,4,60,"BACHELOR","NOT LEGAL"
3,2,70,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,40,"BACHELOR","LEGAL"
4,10,50,"GRADUATE",NA
4,0,45,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
6,0,35,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,30,40,"HIGH SCHOOL","LEGAL"
2,3,37,"BACHELOR","LEGAL"
3,0,55,"GRADUATE",NA
5,0,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,4,52,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,16,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,0,52,"BACHELOR","LEGAL"
NA,NA,50,"HIGH SCHOOL",NA
2,5,60,"BACHELOR","NOT LEGAL"
2,10,60,"HIGH SCHOOL",NA
4,12,40,"BACHELOR","NOT LEGAL"
20,0,35,"BACHELOR","NOT LEGAL"
4,0,8,"GRADUATE",NA
5,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
3,0,60,"HIGH SCHOOL","LEGAL"
5,0,60,"BACHELOR","LEGAL"
2,5,50,"BACHELOR",NA
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,50,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,65,"BACHELOR","NOT LEGAL"
2,5,50,"GRADUATE",NA
1,1,60,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,2,40,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
6,0,43,"BACHELOR","LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
5,0,1,"JUNIOR COLLEGE",NA
3,1,45,"BACHELOR","NOT LEGAL"
10,7,20,"HIGH SCHOOL",NA
6,0,36,"BACHELOR","NOT LEGAL"
3,0,40,"GRADUATE",NA
6,0,42,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,10,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,35,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
7,10,42,"HIGH SCHOOL","NOT LEGAL"
0,0,70,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,50,"HIGH SCHOOL","LEGAL"
3,1,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,5,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,0,35,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
3,3,16,"HIGH SCHOOL",NA
4,0,20,"GRADUATE","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
1,14,36,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,20,40,"HIGH SCHOOL","LEGAL"
5,0,26,"LT HIGH SCHOOL",NA
5,5,40,"BACHELOR","NOT LEGAL"
0,3,27,"LT HIGH SCHOOL",NA
2,20,30,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
1,0,56,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
3,0,30,"LT HIGH SCHOOL",NA
4,0,48,"LT HIGH SCHOOL","LEGAL"
3,0,38,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
16,0,40,"HIGH SCHOOL",NA
0,15,80,"JUNIOR COLLEGE","NOT LEGAL"
2,2,50,"LT HIGH SCHOOL","NOT LEGAL"
1,30,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,2,35,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
12,0,42,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
9,3,28,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
8,7,40,"HIGH SCHOOL",NA
4,2,40,"BACHELOR",NA
4,7,42,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
3,0,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
6,0,22,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
6,25,40,"HIGH SCHOOL",NA
2,0,9,"BACHELOR","LEGAL"
0,0,40,"HIGH SCHOOL",NA
1,3,38,"BACHELOR",NA
2,7,50,"LT HIGH SCHOOL","NOT LEGAL"
4,30,25,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
0,0,32,"LT HIGH SCHOOL","LEGAL"
0,0,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"GRADUATE",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
0,0,7,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,4,25,"HIGH SCHOOL",NA
3,0,45,"HIGH SCHOOL","LEGAL"
1,2,45,"HIGH SCHOOL","LEGAL"
2,0,65,"GRADUATE",NA
6,0,40,"HIGH SCHOOL",NA
3,0,40,"LT HIGH SCHOOL","NOT LEGAL"
5,0,45,"HIGH SCHOOL",NA
4,0,40,"JUNIOR COLLEGE","LEGAL"
6,0,40,"HIGH SCHOOL","NOT LEGAL"
3,0,43,"HIGH SCHOOL",NA
2,0,52,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
6,0,30,"LT HIGH SCHOOL",NA
NA,0,40,"HIGH SCHOOL","LEGAL"
3,0,28,"HIGH SCHOOL",NA
1,3,40,"HIGH SCHOOL",NA
4,0,44,"HIGH SCHOOL","LEGAL"
1,14,74,"HIGH SCHOOL",NA
1,10,50,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,35,"HIGH SCHOOL","LEGAL"
2,0,32,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
4,0,40,"BACHELOR","NOT LEGAL"
2,15,57,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
4,4,50,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,35,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,60,"JUNIOR COLLEGE","LEGAL"
2,2,40,"HIGH SCHOOL","NOT LEGAL"
1,4,50,"HIGH SCHOOL","NOT LEGAL"
2,2,32,"BACHELOR",NA
2,0,15,"HIGH SCHOOL","LEGAL"
5,0,9,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL",NA
4,0,8,"LT HIGH SCHOOL",NA
4,2,20,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
6,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
2,30,50,"LT HIGH SCHOOL","NOT LEGAL"
2,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,48,"LT HIGH SCHOOL","NOT LEGAL"
2,0,70,"HIGH SCHOOL","NOT LEGAL"
12,0,44,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
1,0,55,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
2,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,42,"HIGH SCHOOL",NA
7,3,30,"HIGH SCHOOL","NOT LEGAL"
7,0,20,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
6,0,40,"HIGH SCHOOL","LEGAL"
6,1,56,"BACHELOR","LEGAL"
8,0,39,"HIGH SCHOOL","LEGAL"
3,0,72,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
4,4,50,"BACHELOR","LEGAL"
1,15,40,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,0,40,"HIGH SCHOOL","NOT LEGAL"
2,1,28,"BACHELOR",NA
5,0,50,"GRADUATE",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,35,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"BACHELOR","LEGAL"
1,5,48,"BACHELOR","LEGAL"
5,0,60,"HIGH SCHOOL",NA
1,7,36,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,45,"HIGH SCHOOL",NA
1,27,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
4,1,20,"HIGH SCHOOL",NA
1,5,85,"GRADUATE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
6,0,20,"HIGH SCHOOL",NA
4,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
2,0,9,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
0,0,10,"HIGH SCHOOL","LEGAL"
0,0,46,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,15,40,"HIGH SCHOOL","LEGAL"
12,0,15,"GRADUATE",NA
3,2,42,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,30,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,5,30,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,45,"BACHELOR","LEGAL"
5,0,9,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,5,40,"HIGH SCHOOL","NOT LEGAL"
1,0,2,"HIGH SCHOOL",NA
6,10,25,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,4,89,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,20,52,"HIGH SCHOOL","LEGAL"
3,0,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
5,0,24,"HIGH SCHOOL","NOT LEGAL"
0,0,48,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,0,56,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"HIGH SCHOOL","NOT LEGAL"
0,30,40,"LT HIGH SCHOOL","NOT LEGAL"
2,21,14,"LT HIGH SCHOOL","LEGAL"
2,30,35,"HIGH SCHOOL","LEGAL"
2,0,40,"HIGH SCHOOL","NOT LEGAL"
6,15,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
8,0,6,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,4,40,"HIGH SCHOOL",NA
12,0,60,"LT HIGH SCHOOL","LEGAL"
0,0,32,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
1,1,40,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,25,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
6,10,9,"HIGH SCHOOL","LEGAL"
NA,0,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,1,70,"JUNIOR COLLEGE",NA
3,30,40,"BACHELOR",NA
3,0,40,"BACHELOR","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
10,0,30,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"GRADUATE",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
5,4,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
6,2,20,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
7,0,21,"GRADUATE",NA
NA,NA,NA,"BACHELOR","LEGAL"
1,0,50,"HIGH SCHOOL","LEGAL"
1,0,50,"BACHELOR",NA
2,0,40,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,5,41,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL",NA
0,0,48,"HIGH SCHOOL","LEGAL"
2,0,60,"GRADUATE","NOT LEGAL"
4,7,40,"BACHELOR",NA
5,0,50,"BACHELOR","LEGAL"
5,0,50,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,0,35,"HIGH SCHOOL",NA
4,2,65,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
5,4,42,"BACHELOR","NOT LEGAL"
1,2,44,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
3,0,43,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
6,15,50,"HIGH SCHOOL","LEGAL"
4,1,40,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
3,0,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
10,1,20,"GRADUATE","NOT LEGAL"
6,6,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
2,0,43,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
1,20,45,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,10,50,"HIGH SCHOOL",NA
10,0,10,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,8,20,"HIGH SCHOOL","NOT LEGAL"
6,10,8,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,0,40,"HIGH SCHOOL","LEGAL"
1,0,42,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,1,55,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
5,0,40,"LT HIGH SCHOOL",NA
5,0,50,"BACHELOR","NOT LEGAL"
0,0,40,"GRADUATE",NA
1,5,40,"GRADUATE","LEGAL"
NA,NA,NA,"BACHELOR",NA
3,4,45,"GRADUATE",NA
4,5,60,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
0,11,89,"HIGH SCHOOL","NOT LEGAL"
2,25,60,"BACHELOR",NA
1,0,50,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,30,40,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
5,0,50,"HIGH SCHOOL","NOT LEGAL"
3,5,40,"HIGH SCHOOL",NA
5,5,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
1,0,44,"BACHELOR",NA
2,0,89,"BACHELOR","LEGAL"
2,5,55,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,89,"HIGH SCHOOL","LEGAL"
2,4,40,"HIGH SCHOOL",NA
3,10,40,"JUNIOR COLLEGE","NOT LEGAL"
3,5,32,"JUNIOR COLLEGE","LEGAL"
2,2,56,"HIGH SCHOOL",NA
3,1,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,5,27,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
4,0,60,"BACHELOR",NA
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,10,40,"HIGH SCHOOL","NOT LEGAL"
2,0,24,"JUNIOR COLLEGE",NA
5,0,40,"HIGH SCHOOL",NA
6,8,42,"GRADUATE",NA
3,0,55,"GRADUATE","LEGAL"
6,15,38,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
1,1,52,"BACHELOR",NA
2,0,40,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
9,0,50,"HIGH SCHOOL",NA
1,20,35,"HIGH SCHOOL","NOT LEGAL"
1,0,9,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,5,50,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL","NOT LEGAL"
10,0,32,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
